city,overall_rate
عباس آباد,3.2644444444444445
اسالم,3.2366336633663364
زیباکنار,3.2333333333333334
نیر,3.233333333333333
جاده چالوس,3.230769230769231
بهشهر,3.2282758620689656
علی آباد,3.22015503875969
کلات,3.22
بهار,3.216666666666667
کنگان,3.21
کلاردشت,3.2085972850678735
کلارآباد,3.205357142857143
شاندیز طرقبه,3.198550724637681
کوهرنگ,3.1875
بابل,3.187
کردان,3.1813333333333333
نجف‌آباد,3.177777777777778
نهاوند,3.1666666666666665
چابکسر,3.161594202898551
بابلسر,3.156164383561644
کلاچای,3.155555555555556
پاوه,3.1451612903225805
مشهد,3.140789473684211
پردیس,3.1333333333333333
کویر مرنجاب,3.1125000000000003
روانسر,3.1090909090909093
نی‌ریز,3.1
آستانه اشرفیه,3.0984375
فومن,3.0970370370370373
اشکورات,3.09
دریاکنار,3.0833333333333335
کبودرآهنگ,3.063636363636364
سردشت,3.0500000000000003
امامزاده ابراهیم شفت,3.0333333333333337
ایلام,3.0181818181818185
سمیرم,3.0046511627906973
بناب,3.0
بندر خمیر,3.0
نکا,2.9875
اردل,2.98
رضوانشهر,2.9611842105263158
صومعه‌سرا,2.9513333333333334
شفت,2.947019867549669
رودسر,2.947
نشتارود,2.9271604938271603
بردسیر,2.9
کامیاران,2.8200000000000003
درگهان,2.8076923076923075
مانه و سملقان,2.8
آمل,2.7532258064516126
جزیره هنگام,2.7357142857142853
قزوین,2.7285714285714286
چناران,2.7
ساوه,2.6727272727272724
مهریز,2.6666666666666665
فلاورجان,2.6
ایزدشهر,2.5375
تنکمان,2.5
قروق,2.466666666666667
آزادشهر,2.45
شمیرانات,2.45
ورامین,2.3375
مراغه,2.325
ورزنه,2.258695652173913
فارسان,2.1
سرخه,2.0454545454545454
آباده,1.9533333333333334
اسدآباد,1.8800000000000001
قائنات,1.6666666666666667
خمینی‌شهر,1.6666666666666667
سبزوار,1.5999999999999999
لامرد,1.5666666666666667
شاهین شهر,1.41
هشتگرد,1.3714285714285714
بوانات,1.3454545454545455
آران و بیدگل,1.3333333333333333
تیران و کرون,1.3333333333333333
لردگان,1.2833333333333334
فریدن,1.25
خواف,1.1384615384615384
لنجان,1.0999999999999999
کاشمر,0.5142857142857143
ابرکوه,0.0
پیشوا,0.0
بوکان,0.0
دالاهو,0.0
استهبان,0.0
صحنه,0.0
بردسکن,0.0
اسفراین,0.0
سلسله,0.0
سرایان,0.0
ایوان,0.0
جاجرم,0.0
اسلام‌آباد غرب,0.0
