city,int_part
اسالم,4.19672131147541
اصفهان,5.359447004608295
بابلسر,5.978021978021978
بندرانزلی,6.185185185185185
رامسر,6.35933147632312
رشت,7.86013986013986
ساری,6.328571428571428
سرخرود,4.462962962962963
سوادکوه,4.478260869565218
شیراز,4.590909090909091
شیرگاه,4.040404040404041
تالش,3.8072289156626495
تبریز,5.018518518518518
تنکابن,5.144578313253012
تهران,8.559686888454012
فومن,6.04
قشم,4.792857142857143
قم,3.519230769230769
لاهیجان,7.087912087912088
نوشهر,4.555555555555555
ماسال,5.670588235294118
محمودآباد,5.43859649122807
مشهد,5.128865979381444
متل قو,5.732142857142857
کاشان,4.535135135135135
کردان,7.567961165048544
کلاردشت,3.842105263157895
کیش,4.560975609756097
گرگان,5.44
چالوس,6.503105590062112
یزد,4.436842105263158
